Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
360 ONE Balanced Hybrid Fund-Reg(G),Mayur Patel,HY-EQ,1,860.1,1.94,Open Ended,25-Sep-23,NIFTY 50 Hybrid Composite Debt 50:50 Index,12.45,12.57,10.62,0.09,-1.45,1.83,16.18,15.27,20.78,4.69,6.16,53,53,104021,22.23,6.91,13.13,Financials,2.93,5.49,7.39,8.27,1.58,2.28,1.2,7.5,Hybrid : Equity Oriented,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
360 ONE Dynamic Bond Fund-Reg(G),Milan Mody,DT-DYN,2,737.5,0.52,Open Ended,24-Jun-13,CRISIL Dynamic Bond Index,21.5,21.5,19.61,0.56,1.18,4.7,9.62,8.13,6.6,6.7,6.82,0,1,104992,87,7.64,10.08,FMCG,6.85,8.69,7.35,3.5,3.72,6.7,0.64,1.45,Debt : Dynamic Bond,Nil
360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(G),Parijat Garg,EQ-ELSS,1,75.8,0.52,Open Ended,28-Dec-22,NIFTY 50 - TRI,13.45,14.56,11.74,-1.64,-7.88,-1.39,9.91,15.78,25.81,13.93,16.41,3,50,555860,97.98,1.24,17.76,Financials,0.67,2.5,6.99,1.51,0.47,0.71,0.99,13.9,Equity : Tax Saving (ELSS),Nil
360 ONE Flexicap Fund-Reg(G),Mayur Patel,EQ-FLEX,5,1254.2,2.08,Open Ended,30-Jun-23,BSE 500 - TRI,15.33,16.1,11.82,-0.61,-5.71,0.43,27.02,34.46,14.13,27.87,5.99,27,53,96024,48.74,17.75,28.15,Financials,4.57,4.03,7.23,16.98,1.4,2.02,0.92,15.45,Equity : Flexi Cap,1% on or before 365D Nil after 365D
360 ONE Focused Equity Fund-Reg(G),Mayur Patel,EQ-MLC,4,7305,1.78,Open Ended,30-Oct-14,BSE 500 - TRI,46.19,50.23,39,-2.79,-8.69,-4.21,14.9,22.71,14.5,20.21,15.71,43,31,179687,67.69,10.53,17.9,Financials,0.45,5.76,7.46,6.25,0.71,1,1.02,16.03,Equity : Multi Cap,1% on or before 12M
360 ONE Liquid Fund-Reg(G),Milan Mody,DT-LIQ,1,772.9,0.25,Open Ended,13-Nov-13,CRISIL Liquid Debt Index,1945.6,1945.6,1815.46,0.58,1.71,3.47,7.19,7.04,6.27,5.03,5.9,0,71,209477,72.06,22.8,34.83,Financials,0.14,0.42,6.99,1.61,10.39,12.82,1.31,0.16,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
360 ONE Quant Fund-Reg(G),Parijat Garg,EQ-THEM,4,604.7,1.83,Open Ended,29-Nov-21,BSE 200 - TRI,18.69,20.71,15,-1.03,-9.99,-2.28,21.82,33.9,22.83,22,17.42,94,35,123986,60.76,37.72,23.23,Financials,4.36,1.36,7.02,12.78,0.96,1.37,1.1,19.17,Equity : Thematic,1% on or before 12M Nil after 12M
Aditya Birla SL Active Debt Multi-Mgr FoF(G),Kaustubh Gupta,FOF-DOM,1,10.3,0.54,Open Ended,28-Dec-06,CRISIL Composite Bond Index,35.85,35.94,33.24,0.43,1.13,3.91,7.84,7.32,5.87,6.21,6.77,0,53,56977,2.05,1.93,12.47,Healthcare,9.35,2.89,6.92,2.6,2.17,3.78,0.4,1.74,FoFs : Domestic,0.25% on or before 15D Nil after 15D
Aditya Birla SL Arbitrage Fund(G),Lovelish Solanki,HY-ARB,3,13843.7,1.01,Open Ended,24-Jul-09,Nifty 50 Arbitrage - TRI,25.69,25.69,23.92,0.66,1.83,3.45,7.45,7.32,6.24,5.31,5.84,1402,191,205260,51.67,15.08,3.69,Financials,1.02,0.66,7.5,3.53,3.35,7.38,-0.08,0.99,Hybrid : Arbitrage,0.25% on or before 15D Nil after 15D
Aditya Birla SL Asset Allocator FoF(G),Vinod Narayan Bhat,FOF-DOM,3,187.4,1.25,Open Ended,17-Aug-06,CRISIL Hybrid 50+50 - Moderate Index,63.05,65.76,53.88,0.06,-3.86,1.62,16.57,19.86,13.36,16.02,11.93,0,64,63834,17.97,17.7,83.3,Financials,0.14,5.54,7.94,7.41,1.1,1.54,1.81,11.67,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Bal Bhavishya Yojna-Reg(G),Chanchal Khandelwal,HY-SOL,2,1087.2,2.15,Open Ended,11-Feb-19,NIFTY 500 - TRI,19.68,20.94,16.55,-0.1,-6.77,-0.05,14.7,19.26,12.6,12.69,8.69,58,63,121321,55.89,11.69,30.7,Financials,2.91,0.54,7.42,4.89,0.72,1.01,2.23,15.85,Hybrid : Solution Oriented,Nil
Aditya Birla SL Balanced Advantage Fund(G),Harish krishnan,HY-DYN,4,7400.2,1.8,Open Ended,25-Apr-00,CRISIL Hybrid 50+50 - Moderate Index,100.81,104.73,87.71,-0.53,-4.05,1.68,13.1,15.08,11.42,12.44,10.5,278,98,211944,51.92,11.13,3.84,Financials,3.73,2.87,7.41,5.17,1.12,1.66,1.23,7.84,Hybrid : Dynamic Asset Allocation,0.25% on or before 7D Nil after 7D
Aditya Birla SL Banking & Financial Services Fund-Reg(G),Dhaval Gala,EQ-FIN,4,3269.7,1.99,Open Ended,14-Dec-13,Nifty Financial Services - TRI,56.09,60.25,48.89,-1.97,-6.47,-2.88,9.31,15.98,14.66,12.03,12.76,20,34,226190,65.94,11.52,19.26,Financials,3.5,2.52,7.26,1.23,0.39,0.56,1.03,16.42,Equity : Sectoral - Financial Services,1% on or before 30D Nil after 30D
Aditya Birla SL Banking & PSU Debt(G),Kaustubh Gupta,DT-B&PSU,4,9482.9,0.73,Open Ended,05-May-08,NIFTY Banking and PSU Debt Index,350.92,350.92,325.39,0.55,1.45,3.97,7.84,7.33,6.1,6.51,7.54,0,50,153449,62.57,1.24,33.04,Financials,4.46,3.3,7.41,2.65,5.12,9.72,0.37,0.73,Debt : Banking & PSU,Nil
Aditya Birla SL BSE India Infrastructure Index Fund-Reg(G),Priya Sridhar,EQ-INFRA,2,119.2,0.3,Open Ended,04-Dec-24,BSE India Infrastructure Index - TRI,9.59,10.19,9.35,2.05,1.4,7.86,41.26,7.2,19.94,5.22,15.98,38.17,20,174083,83.83,1.84,15.92,Financials,0.01,3.66,7.35,16.86,1.36,0.33,0.92,0.57,Equity : Sectoral - Infrastructure,0.05% on or before 30D Nil after 30D
Aditya Birla SL BSE Sensex ETF,Priya Sridhar,EQ-ETF,2,331.9,0.08,Open Ended,18-Jul-16,BSE SENSEX - TRI,79.07,84.76,68.87,-1.64,-6.69,-0.82,9.8,15.66,12.43,15.19,6.93,0,30,684548,99.14,0.72,11.43,Financials,0.01,0.41,6.64,1.39,0.46,0.71,1,13.89,Equity : ETFs,Nil
Aditya Birla SL Business Cycle Fund-Reg(G),Harish krishnan,EQ-THEM,5,1823.2,2.1,Open Ended,03-Dec-21,BSE 500 - TRI,14.97,15.99,12.45,0.2,-5.91,1.56,19.19,19.15,14.25,4.82,6.32,0,70,132232,55.93,17.75,23.6,Financials,3.69,0.56,11.86,10.21,1.07,1.6,0.92,13.92,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Conglomerate Fund-Reg(G),Harish krishnan,EQ-THEM,5,119.2,0.45,Open Ended,27-Dec-24,BSE Select Business Groups Index - TRI,10.05,10.05,10,-2.03,-1.67,10.01,7.94,27.4,17.79,6.7,18.12,99,23,225318,6.05,18.37,46.03,Financials,0.56,0.44,6.79,0.18,1.46,2.47,1.05,23.12,Equity : Thematic,0.50% on or before 90D Nil after 90D
Aditya Birla SL Corp Bond Fund(G),Kaustubh Gupta,DT-CORP,5,24978.5,0.52,Open Ended,03-Mar-97,NIFTY Corporate Bond Index,108.03,108.04,99.52,0.53,1.5,4.27,8.53,7.86,6.6,7.09,7.77,0,29,555827,58.67,5.69,24.28,Capital Goods,5.37,3.74,7.51,2.97,4.9,9.41,0.47,0.89,Debt : Corporate Bond,Nil
Aditya Birla SL Credit Risk Fund-Reg(G),Sunaina da Cunha,DT-CR,3,917.8,1.54,Open Ended,22-Apr-15,CRISIL Credit Risk Debt Index,20.57,20.57,18.35,0.47,4.19,7.18,11.98,9.43,8.65,8.32,5.44,0,1,290187,98.67,13.21,3.17,Financials,3.03,2.14,8.28,6.48,2.63,15.65,0.4,2.91,Debt : Credit Risk,Nil upto 15% of units For remaining units 3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
Aditya Birla SL CRISIL 10 Year Gilt ETF,Bhupesh Bameta,DT-ETF,2,17.8,0.1,Open Ended,13-Aug-24,Crisil 10 Yr Gilt Index,102.98,103.22,100,0.32,1.05,-3.14,8.88,37.4,6.26,15.13,11.12,0,47,58051,88.22,8.01,13.62,Healthcare,9.03,6.49,6.89,0.81,0.66,0.71,0.91,2.05,Debt : ETFs,Nil upto 30% of units and 1% for remaining units on or before 1Y Nil after 1Y
Aditya Birla SL CRISIL Broad Based Gilt ETF,Kaustubh Gupta,DT-ETF,5,43.6,0.19,Open Ended,05-Jul-24,CRISIL Broad Based Gilt Index,104.32,104.44,100,0.39,0.77,4.19,6.81,36.25,16.19,5.94,6.76,0,63,433477,34.92,7.86,18.33,Financials,12.06,6.91,6.94,11.29,1.4,2.25,0.07,15.98,Debt : ETFs,1% on or before 90D Nil after 90D
Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,5,397.8,0.35,Open Ended,13-Oct-22,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,11.89,11.89,10.99,0.5,1.4,4.08,8.09,7.9,17.93,11.91,9.92,0,69,224481,42.8,10.37,44.13,Financials,3.22,2.79,6.96,2.72,4.47,9.85,0.4,0.87,Debt : Medium to Long Duration,Nil
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund-Reg(G),Mohit Sharma,DT-MD,3,168.1,0.35,Open Ended,30-Mar-22,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2025,11.63,11.63,10.84,0.57,1.63,3.48,7.29,7.1,6.87,5.7,5.97,0,30,555827,34.96,14.14,91.85,Financials,0.32,0.29,7.03,3.05,9.83,19.98,0.05,0.33,Debt : Medium Duration,Nil
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,5,1685.1,0.4,Open Ended,29-Mar-22,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2027,11.66,11.66,10.83,0.55,1.56,3.79,7.79,7.3,19.44,14.45,5.78,0,10,258819,87,9.77,84.84,Financials,2.03,1.8,7.2,2.97,6.56,14.95,0.23,0.55,Debt : Medium to Long Duration,Nil
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund-Reg(G),Bhupesh Bameta,DT-B&PSU,3,52.8,0.45,Open Ended,02-Dec-22,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2026,11.51,11.51,10.72,0.56,1.6,3.63,7.41,7.11,6.24,18.84,9.85,0,47,371037,65.59,3.45,88.53,Automobile and Ancillaries,1.14,1.03,7.2,2.85,7,15.83,0.16,0.47,Debt : Banking & PSU,Nil
Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund-Reg(G),Bhupesh Bameta,DT-MD,4,294.3,0.36,Open Ended,07-Oct-22,CRISIL IBX Gilt Index - April 2026,11.72,11.72,10.94,0.56,1.49,3.59,7.22,7.13,6.21,4.71,5.89,0,20,23198,42.16,4.26,65.41,Financials,1.3,1.21,6.82,2.57,5.79,13.38,0.19,0.54,Debt : Medium Duration,Nil
Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund-Reg(G),Bhupesh Bameta,DT-M&LD,1,29.2,0.79,Open Ended,15-Mar-23,CRISIL IBX Gilt Index - April 2028,11.34,11.34,10.56,0.53,1.28,3.73,7.38,18.22,22.78,6.51,16.35,0,87,437464,15.48,72.78,29.49,FMCG,2.96,2.56,6.85,2.02,3.68,7.79,0.41,0.88,Debt : Medium to Long Duration,Nil
Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund-Reg(G),Harshil Suvarnkar,DT-GILT,2,695.2,0.37,Open Ended,19-Oct-22,CRISIL IBX Gilt Index - April 2029,11.95,11.96,11.03,0.43,1.27,4.3,8.37,8.17,23.24,14.89,15.57,0,66,27071,100.05,28.46,24.97,Financials,4.34,3.68,6.82,2.39,3.28,5.97,0.61,1.28,Debt : Gilt,Nil
Aditya Birla SL CRISIL IBX Gilt April 2033 Index Fund-Reg(G),Bhupesh Bameta,DT-LD,1,87.2,0.47,Open Ended,22-Dec-23,CRISIL IBX Gilt Index - April 2033,10.94,10.94,10,0.45,0.99,4.69,9.22,31.18,12.5,18.37,9.68,0,97,171906,46.94,8.66,33.78,Financials,7.66,5.65,6.92,1.94,2.71,4.96,0.99,1.8,Debt : Long Duration,Nil
Aditya Birla SL CRISIL IBX Gilt June 2027 Index Fund-Reg(G),Bhupesh Bameta,DT-GILT,5,13,0.5,Open Ended,05-Jun-24,CRISIL IBX Gilt Index - June 2027,10.45,10.45,10,0.5,1.42,3.8,7.7,7.49,6.56,24.88,7.56,0,27,193143,53.77,27.23,22.7,Financials,2.4,2.09,6.79,13.28,8.97,0.66,0.61,0.84,Debt : Gilt,Nil
Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund-Reg(G),Bhupesh Bameta,DT-LD,2,160,0.57,Open Ended,14-Feb-23,CRISIL IBX SDL Index - June 2032,11.72,11.72,10.61,0.65,1.46,4.6,9.8,0.53,4.87,4.88,11.54,0,30,429419,35.88,13.76,21.43,Healthcare,7.12,5.35,7.19,3.12,3.04,6.2,0.76,1.77,Debt : Long Duration,Nil
Aditya Birla SL CRISIL Liquid Overnight ETF,Sanjay Pawar,DT-ON,3,61.9,0.43,Open Ended,13-Mar-23,CRISIL Liquid Overnight Index,1000,1000.55,1000,0.51,1.51,3.02,6.29,13.35,5.63,5.11,6.41,114,37,50745,6.94,30.97,10.74,Capital Goods,3.23,4.73,7.4,0.93,6.72,8.75,0.9,0.14,Debt : Overnight,Nil
Aditya Birla SL CRISIL-IBX AAA Financial Services Index-Sep 2027 Fund-Reg(G),Harshil Suvarnkar,DT-M&LD,5,100.9,1.58,Open Ended,13-Nov-24,CRISIL IBX AAA Financial Services Index - Sep 2027,10.08,10.09,10,0.6,-5.77,-2,8.26,8.91,12.41,15.59,6.35,0,27,555860,84.1,30.97,5.38,Capital Goods,2.39,2.03,7.66,15.27,1.34,1.54,0.99,16.03,Debt : Medium to Long Duration,NIL
Aditya Birla SL CRISIL-IBX AAA NBFC-HFC Index-Dec 2025 Fund-Reg(G),Sanjay Godambe,DT-SD,5,372.4,1.72,Open Ended,15-Oct-24,CRISIL-IBX AAA NBFC-HFC Index - Dec 2025,10.15,10.15,10,0.63,-6.84,3.57,8.04,-5.93,16.34,22.2,14.17,0,59,142998,46.89,21.56,65.41,Financials,0.94,0.87,7.84,11.49,3.68,1.7,0.98,18.76,Debt : Short Duration,NIL
Aditya Birla SL CRISIL-IBX AAA NBFC-HFC Index-Sep 2026 Fund-Reg(G),Harshil Suvarnkar,DT-SD,4,274.9,1.75,Open Ended,08-Oct-24,CRISIL-IBX AAA NBFC-HFC Index - Sep 2026,10.17,10.17,10,0.66,3.13,4.08,7.91,19.81,16.16,5.66,11.9,0,50,538968,62.81,18.55,31.01,Financials,1.62,1.43,7.86,3.1,2.01,1.64,0.88,0.83,Debt : Short Duration,Nil
Aditya Birla SL CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund-Reg(G),Harshil Suvarnkar,DT-USD,3,1118.5,0.87,Open Ended,17-Dec-24,CRISIL-IBX Financial Services 3 to 6 Months Debt Index,10.04,10.04,10,0.52,1.27,-2.15,6.62,15.72,12.6,18.87,10.98,7.46,15,214495,35.07,18.55,3.31,Financials,3.07,2.14,6.6,12.4,0.57,9.67,0.98,14.64,Debt : Ultra Short Duration,Nil
Aditya Birla SL Digital India Fund(G),Kunal Sangoi,EQ-TECH,3,5332.7,1.87,Open Ended,15-Jan-00,BSE TECk Index - TRI,186.86,197.62,146,0.03,-0.05,12.91,18.32,26.67,7.98,27.7,18.88,31,33,191813,64.97,7.44,20.23,Technology,0.42,3.2,7.46,10.68,0.9,1.69,0.73,16.04,Equity : Sectoral - Technology,1% on or before 30D Nil after 30D
Aditya Birla SL Dividend Yield Fund(G),Dhaval Gala,EQ-DIV,4,1536.5,2.21,Open Ended,10-Feb-03,NIFTY 500 - TRI,452.51,497.49,379.09,-1.52,-8.76,0.55,18.18,28.94,20.52,22.45,12.14,33,67,114357,55.76,10.69,24.65,Technology,2.42,3.67,7.09,9.83,0.88,1.27,0.98,16.7,Equity : Thematic - Dividend Yield,1% on or before 90D Nil after 90D
Aditya Birla SL Dynamic Bond Fund-Reg(G),Mohit Sharma,DT-DYN,1,1716.9,1.23,Open Ended,27-Sep-04,NIFTY Composite Debt Index,44.23,44.27,40.6,0.45,0.6,4.27,8.8,7.76,7.16,7.19,6.4,0,41,437035,98.33,13.57,4.29,Healthcare,15.02,8.15,7.24,1.18,2.14,3.62,1.13,2.11,Debt : Dynamic Bond,Nil upto 15% of units0.50% in excess of limit on or before 90D and Nil after 90D
Aditya Birla SL ELSS Tax Saver Fund(G),Dhaval Shah,EQ-ELSS,1,15745.8,1.68,Open Ended,10-Mar-08,NIFTY 500 - TRI,57.89,62.96,48.77,-1.67,-8.66,-2.08,16.11,18.22,11.41,12.22,11.03,28,67,190619,64.01,17.53,15.24,Financials,2.38,3.82,7.05,7.71,0.89,1.3,0.92,13.83,Equity : Tax Saving (ELSS),Nil
Aditya Birla SL Equity Advantage Fund(G),Vishal Gajwani,EQ-L&M,4,5869.5,1.9,Open Ended,24-Feb-95,NIFTY LargeMidcap 250 - TRI,901.21,960.8,746.94,0.23,-6.92,-0.62,16.09,22.12,9.17,16.01,12.3,47,77,103434,45.23,36.14,17.16,Financials,6.59,11.61,7.05,7.51,0.79,1.12,0.97,15.67,Equity : Large & Mid Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Equity Hybrid 95 Fund(G),Chanchal Khandelwal,HY-EQ,4,7684.2,1.85,Open Ended,10-Feb-95,CRISIL Hybrid 35+65 - Aggressive Index,1486.91,1557.86,1261.26,-0.72,-4.98,0.65,15.6,18.88,11.68,13.88,10.37,69,80,216645,55.66,9.09,11.79,Financials,5.45,3.63,7.43,5.95,1.06,1.59,1.79,10.52,Hybrid : Equity Oriented,1% on or before 90D Nil after 90D
Aditya Birla SL Equity Savings Fund-Reg(G),Lovelish Solanki,HY-EQ,2,624.3,1.12,Open Ended,28-Nov-14,NIFTY 50 Equity Savings Index - TRI,21.07,21.07,19.38,0.38,-0.1,2.84,8.31,9.93,6.26,8.42,7.57,692,121,258243,48.73,16.8,3.32,Financials,3.53,2.78,6.92,2.7,1.5,2.45,0.46,2.68,Hybrid : Equity Oriented,0.25% on or before 7D Nil after 7D
Aditya Birla SL ESG Integration Strategy Fund-Reg(G),Chanchal Khandelwal,EQ-THEM,5,686.8,2.41,Open Ended,24-Dec-20,NIFTY100 ESG - TRI,18.1,18.95,14.38,-0.11,-5.57,5.7,22.15,23.04,9.46,10.09,9.81,0,49,188095,67.07,21.51,9.87,Financials,2.3,3.07,7.25,12.78,1.29,2.12,0.85,13.25,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Financial Planning FOF Aggressive Plan(G),Vinod Narayan Bhat,FOF-DOM,3,216,1.19,Open Ended,09-May-11,CRISIL Hybrid 35+65 - Aggressive Index,51.1,54.15,43.41,-0.26,-5.27,1.11,16.89,20.7,14.75,16.85,12.37,62.81,27,47253,73.82,12.44,15.13,Financials,2.36,2.2,7.18,7.79,1.09,1.58,1.79,11.99,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Financial Planning FOF Conservative Plan(G),Vinod Narayan Bhat,FOF-DOM,1,19.1,1.06,Open Ended,09-May-11,CRISIL Short Term Debt Hybrid 75+25 Index,32.42,33.22,28.97,0.19,-2.21,2.39,11.72,13.8,10.51,11.22,8.85,0,58,205694,47.17,14.41,23.29,Financials,4.88,4.13,7.11,4.69,1.27,1.85,1.03,6.08,FoFs : Domestic,1% on or before 1Y Nil after 1Y
Aditya Birla SL Financial Planning FOF Moderate Plan(G),Vinod Narayan Bhat,FOF-DOM,3,36.3,1.18,Open Ended,09-May-11,CRISIL Hybrid 50+50 - Moderate Index,40.08,41.8,34.91,-0.1,-3.85,1.72,14.29,17.23,12.6,14.02,10.51,39,30,217961,57.5,38.6,8.97,Financials,0.36,0.79,7.25,6.15,1.15,1.66,1.43,9.08,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Flexi Cap Fund(G),Harish krishnan,EQ-FLEX,3,22440.2,1.68,Open Ended,27-Aug-98,NIFTY 500 - TRI,1734.39,1853.62,1425.06,-0.79,-7.15,1.95,18.66,22.91,14.53,17.63,13.92,44,81,188311,69.01,16.84,12.37,Financials,6.27,1.36,7.49,9.83,1.05,1.59,0.92,13.73,Equity : Flexi Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Floating Rate Fund(G),Kaustubh Gupta,DT-FL,3,13287.1,0.44,Open Ended,25-Mar-09,NIFTY Low Duration Debt Index,333.94,333.94,309.53,0.62,1.85,3.85,7.9,7.68,6.72,6.46,7.37,0,10,223121,51.1,20.3,30.7,Financials,1.89,1.02,7.64,3.6,10.34,19.98,0.07,0.37,Debt : Floater,Nil
Aditya Birla SL Focused Fund(G),Kunal Sangoi,EQ-LC,3,7706.3,1.82,Open Ended,24-Oct-05,NIFTY 500 - TRI,138.24,148.29,112.95,-1.05,-7.02,1.6,19.31,21.7,14.34,16.83,12.38,27,29,327990,78.14,11.98,2.11,Financials,9.1,2.8,8.24,9.9,1.08,1.66,0.94,13.58,Equity : Large Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Frontline Equity Fund(G),Mahesh Patil,EQ-LC,4,29323.3,1.65,Open Ended,30-Aug-02,NIFTY 100 - TRI,511.08,550.82,427.33,-1.27,-7.69,-0.12,16,20.12,14.5,16.79,12.3,40,79,308142,83.74,4.63,8.17,Financials,7.04,3.35,7.26,7.13,0.87,1.31,0.95,13.68,Equity : Large Cap,1% on or before 90D Nil after 90D
Aditya Birla SL FTP-TI-1837D-Reg(G),Mohit Sharma,DT-FMP,2,304.9,0.8,Closed Ended,29-Jun-21,CRISIL Medium to Long Term Debt Index,12.25,12.25,11.34,0.57,1.59,3.89,8.02,7.57,5.83,15.52,13.53,103,10,76882,44.3,63.41,19.07,Technology,4.88,0.35,7.12,3.4,6.07,14.84,0.16,0.64,Debt : FTP/FMP,0.50% on or before 30D Nil after 30D
Aditya Birla SL FTP-TJ-1838D-Reg(G),Mohit Sharma,DT-FMP,4,25.1,2.24,Closed Ended,16-Jul-21,CRISIL Medium to Long Term Debt Index,12.24,12.24,11.33,0.55,1.56,3.85,8.08,7.6,5.88,30.16,6.34,110,60,64420,88.91,0.71,34.65,Metals,10.81,2.76,7.09,3.4,6.1,14.1,0.18,0.64,Debt : FTP/FMP,Nil upto 25% of units and 1% for remaining units on or before 365D Nil after 365D
Aditya Birla SL FTP-TQ-1879D-Reg(G),Mohit Sharma,DT-FMP,2,211.8,0.06,Closed Ended,24-Mar-22,CRISIL Medium to Long Term Debt Index,11.82,11.83,10.95,0.5,1.51,3.99,8.06,7.78,18.32,5.32,9.85,0,40,158817,89.59,3.21,3.32,Financials,0.02,3.59,6.92,3.02,5.66,13.27,0.29,0.69,Debt : FTP/FMP,1% on or before 1Y Nil after 1Y
Aditya Birla SL FTP-UB-1224D-Reg(G),Mohit Sharma,DT-FMP,3,24.5,0.5,Closed Ended,16-Dec-22,CRISIL Medium Duration Debt Index,11.54,11.54,10.74,0.59,1.55,3.73,7.48,7.37,13.56,5.13,15.94,47,33,277644,88.22,7.52,5.72,Financials,0.11,3.1,6.88,2.8,5.97,13.55,0.2,0.57,Debt : FTP/FMP,0.25% on or before 30D Nil after 30D
Aditya Birla SL FTP-UJ-1110D-Reg(G),Mohit Sharma,DT-FMP,2,73.3,1.4,Closed Ended,27-Mar-23,CRISIL Medium Duration Debt Index,11.36,11.36,10.57,0.57,1.53,3.76,7.46,8.3,14.52,5.53,8.03,22,31,346177,69.94,72.09,9.27,Financials,3.59,2.16,7.09,2.87,5.9,12.9,0.17,0.57,Debt : FTP/FMP,0.25% on or before 30D
Aditya Birla SL G-Sec Fund(G),Bhupesh Bameta,DT-GILT,3,2045,1.14,Open Ended,11-Oct-99,Nifty All Duration G-Sec Index,78.26,78.55,71.6,0.22,0.03,3.63,9.03,7.96,5.85,6.51,7.73,0,34,191762,99.28,6.75,3.86,Healthcare,20.87,9.38,7.04,0.66,1.84,3.21,1.36,2.55,Debt : Gilt,Nil
Aditya Birla SL Global Emerging Opp Fund(G),Dhaval Joshi,FOF-OVR,2,248.2,1.16,Open Ended,17-Sep-08,S&P Global 1200,25.21,26.2,20.57,-1.08,2.34,3.6,19.6,-2.14,4.68,12.29,7.51,0.2,1,429791,86.91,1.82,17.72,Financials,3.18,2.14,6.94,15.2,1.1,1.78,0.5,15.01,FoFs : Overseas,0.25% on or before 28D Nil after 28D
Aditya Birla SL Global Excellence Equity FoF(G),Dhaval Joshi,FOF-OVR,4,201.4,1.28,Open Ended,31-Dec-07,MSCI World,32.11,33.15,26.33,-0.93,-0.19,1.7,19.66,2.85,7.99,8.76,6.39,0.06,1,284558,99.33,9.64,26.44,FMCG,0.39,0.01,6.62,15.3,1.1,1.8,0.48,14.91,FoFs : Overseas,0.25% on or before 28D Nil after 28D
Aditya Birla SL Gold ETF,Sachin Wankhede,GOLD-ETF,1,946.5,0.54,Open Ended,13-May-11,Gold-India,68.35,70.72,55.06,-0.17,1.3,6.3,19.85,16.77,15.79,13.5,9.93,7,121,143042,22.23,57.6,50.98,Financials,3.01,1.83,6.82,15.12,1.22,1.85,0.09,12.62,Gold : ETFs,Nil
Aditya Birla SL Gold Fund(G),Priya Sridhar,GOLD-MF,2,434.7,0.52,Open Ended,20-Mar-12,Gold-India,22.47,23.53,18.36,-0.66,0.74,6.25,18.87,16.41,15.05,12.71,9.36,56,47,555827,70.26,10.2,3.26,Healthcare,5.22,2.48,7.37,13.78,1.03,1.71,0.23,14.05,Gold : MFs,1% on or before 15D Nil after 15D
Aditya Birla SL Income Fund(G),Bhupesh Bameta,DT-M&LD,5,2185.1,1.16,Open Ended,21-Oct-95,CRISIL Medium to Long Term Debt Index,120.55,120.72,110.98,0.46,0.75,3.96,8.39,7.45,5.72,6.69,6.97,0,59,418112,32.67,8.39,91.98,Automobile and Ancillaries,15.12,6.65,7.34,1.23,2.3,4.06,0.97,1.8,Debt : Medium to Long Duration,Nil
