Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index,NAV,52 WeekHigh (NAV),52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%),No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
ICICI Pru Nifty Commodities ETF,Nishit Patel,EQ-THEM,2,41.4,0.3,Open Ended,15-Dec-22,NIFTY COMMODITIES - TRI,83.05,98.94,75.46,-4.85,-17.14,-12.37,5.73,17.43,5.89,6.76,12.36,117,31,212279,83.5,16.44,41.26,Energy,2.22,3.68,7.48,-1.99,0.18,0.26,1.27,21.57,Equity : Thematic,1% on or before 12M Nil after 12M
ICICI Pru Nifty Financial Services Ex-Bank ETF,Nishit Patel,EQ-ETF,1,90.3,0.2,Open Ended,25-Nov-22,Nifty Financial Services Ex-Bank - TRI,26.52,28.59,21.86,-0.05,-9.33,1.93,14.51,24.97,12.96,22.34,18.02,51,30,126945,67.26,27.2,5.52,Financials,1.62,0.47,7.18,6.73,0.6,0.9,1.1,19.73,Equity : ETFs,1% on or before 90D Nil after 90D
ICICI Pru Nifty FMCG ETF,Nishit Patel,EQ-ETF,1,436.2,0.2,Open Ended,05-Aug-21,NIFTY FMCG - TRI,60.58,596.17,56.23,-1.58,-12.66,0.12,1.19,15.82,17.11,24.79,6.44,20,15,276719,88.8,8.93,2.27,FMCG,6.02,1.06,6.93,-3.65,-0.1,-0.18,0.48,13.85,Equity : ETFs,Nil
ICICI Pru Nifty G-Sec Dec 2030 Index Fund-Reg(G),Darshil Dedhia,DT-M&LD,3,967.6,0.39,Open Ended,11-Oct-22,Nifty G-Sec Dec 2030 Index,11.97,11.98,10.99,0.63,1.38,4.5,8.73,8.23,21.02,19.48,10.11,0,32,31548,32.67,7.49,68.91,Technology,5.81,4.47,6.91,2.39,3.09,5.58,0.73,1.48,Debt : Medium to Long Duration,Nil
ICICI Pru Nifty Healthcare ETF,Nishit Patel,EQ-ETF,1,152,0.15,Open Ended,18-May-21,Nifty Healthcare Index - TRI,153.45,153.45,109.73,6.16,1.71,19.41,41.26,38.19,19.51,21.26,8.63,10,20,120190,55.01,39.6,5.39,Healthcare,2.36,1.08,7.52,30.09,2.23,4.16,0.46,14.44,Equity : ETFs,NIL
ICICI Pru Nifty India Consumption ETF,Nishit Patel,EQ-ETF,1,57.7,0.2,Open Ended,28-Oct-21,Nifty India Consumption - TRI,119.67,133.52,96.36,-0.19,-10.75,2.39,20.49,25.19,19.23,8.75,15.12,59,30,277644,92.14,7.86,5.1,FMCG,7.04,2.48,7.08,11.92,1.18,2.16,0.74,13,Equity : ETFs,Nil
ICICI Pru Nifty Infrastructure ETF,Nishit Patel,EQ-ETF,5,116.2,0.5,Open Ended,17-Aug-22,Nifty Infrastructure - TRI,88.21,99.15,74.36,-2.73,-11.06,-6.74,16.68,27.87,10.88,23.26,10.83,77,30,396688,87.99,11.95,5.65,Energy,0.12,2.27,7.04,7.71,0.68,0.96,1.26,20.05,Equity : ETFs,1% on or before 1M Nil after 1M
ICICI Pru Nifty IT ETF,Nishit Patel,EQ-ETF,4,505.3,0.2,Open Ended,17-Aug-20,NIFTY IT - TRI,47.59,49.37,34.46,0.5,2.73,18.37,23.61,26.24,6.45,5.81,7.48,64,10,429501,83.85,16.15,7.05,Technology,1.71,3.79,6.99,16.35,1.02,1.86,0.74,19.47,Equity : ETFs,1% on or before 1M Nil after 1M
ICICI Pru Nifty IT Index Fund-Reg(G),Nishit Patel,EQ-INDX,3,546.3,0.89,Open Ended,18-Aug-22,NIFTY IT - TRI,15.06,15.62,10.96,0.44,2.53,17.82,22.64,25.21,4.62,29.97,16.45,28,10,429500,83.75,16.13,19.51,Technology,3.06,4.8,6.78,15.3,0.98,1.78,0.75,19.52,Equity : Index Funds,Nil
ICICI Pru Nifty LargeMidcap 250 Index Fund-Reg(G),Nishit Patel,EQ-INDX,5,175.6,0.83,Open Ended,13-Mar-24,NIFTY LargeMidcap 250 - TRI,11.87,12.65,9.98,-0.17,-6.89,-0.7,19.26,23.88,17.75,4.71,14.95,14,251,158874,51.22,45.23,3.41,Financials,7.24,2.4,7.16,6.96,5.16,5.56,0.82,13.91,Equity : Index Funds,Nil
